index	year	y1	y2	y3	y4	y5	b	x1	x2	x3	x4	x5	e	w1	w2	w3	w4	w5	TA
1623	2003	115645.8141530818	725235.2896360516	236522.5896270149	687791.9868051705	14964	1630	463.25	17488.86603805923	447034.008498832	13409.39433987059	1184525.067003035	137237.25	55.24391450987506	.4355631545201966	.0244481167317545	.0199100067694023	.0158981702093228	1907854.378337164
1623	2004	115045.2574335919	1344593.157799836	285588.48304668	971195.8422022177	16413	5687	666.25	27156.07916017015	595850.5949405389	24034.73826293212	1835077.958921815	236676	57.51129589018579	.3878038338962089	.0240287686188271	.0125116894005353	.0153413215988526	2908468.651541442
1623	2005	98882.75	1557915.25	267818.25	899047.5	16696	8339	676.75	26959.25	643101	19049.75	1911304.25	261642.25	55.32175840413742	.3488598532971058	.0335919241301133	.0132285200593184	.0213330766150915	3033328
1623	2006	85959.40373277245	1640696.923876085	255638.9789238162	929296.2684871558	37381	17646	723.5	31068.09810104734	662824.2139859697	23478.65398566305	2015274.664850158	289210	59.59601708460149	.2929777331271731	.0437198676337229	.0470270550968479	.0297956612082992	3144494.165344412
1623	2007	88410.19274012337	1667949.087497892	284578.0675391842	915635.5333155296	31833	21949	772	34868.9114271939	630240.8570519484	18892.56845169457	2116163.737015012	325767.25	59.12420099765478	.2941733679988713	.0439693594194808	.0348667079975201	.0345238578880245	3230253.462154879
1623	2008	101673.1070031872	2076780.08111572	451408.2814238597	1015867.012551884	29485	76909	904.75	35917.79376539768	937035.7700617311	30197.95353917326	2429676.435722877	431671.75	59.15705967946157	.3792410481261092	.0350259753641703	.0185321713216977	.0235853619978439	4021552.942916127
1623	2009	87251.78479266856	2463014.325043425	824626.6679846818	978192.2996322902	43983	131329	1045	45039.06466083054	1174012.614406438	55462.76376856327	3007241.29765646	401055.25	61.79044422613224	.4298995381997894	.0302620774699393	.006677796327212	.0170350834232063	4828712.588358456
1781	2001	366796.834428331	2539485.943308362	660918.6626530974	1338525.351941582	22812	42425	769.5	106767.4131947729	1694190.228224036	529801.3647335687	2813370.91851654	430490	53.35420077818467	.1700431958665844	.0465982570391813	.0207170122312363	.0353461948244107	5507490.438775805
1781	2002	314985.8103612426	2471015.005855869	733206.4559786205	2014150.967087571	24540	67118	787.75	110754.299364872	2486883.164546371	494103.9511711762	2767134.460882015	443650.75	43.59050839924347	.1684847441368539	.0252434184431144	.0093704187853851	.019052550749178	6132963.243944885
1781	2003	299679.9132130885	2745222.811371516	923974.1754887829	3210317.559493323	41090	59907	933.5	107782.1518887854	3352474.867043121	462049.0273670342	3386406.033081485	538152	50.88400117323828	.1922384303467614	.019003305971909	.005322877104059	.0144619252581881	7938085.390712818
1781	2004	319730.7648672632	3519756.734092845	1103072.107590963	3558528.582945253	44921	42619	1088	109461.1005478279	3949421.631719726	475996.2197448144	4014431.65506355	776359.25	44.67017772488543	.2045697535278582	.0193263537762558	.0055230117347717	.0150321601503216	9297204.502094839
1781	2005	345585	3806614.75	1360966.5	3095914.25	44698	29827	1305	111042.75	4117617.500000001	598188.25	3992468.75	762288.75	54.47203065134099	.2224998930592047	.0322113455171589	.0122068596298908	.0254263730930893	9449893.25
1781	2006	291650.3108992714	3938002.686431076	1476180.287261542	2085335.104896798	89811	25536	1836.25	132111.0465146233	3397572.036070571	745015.9625000426	3744879.083300648	789043.75	65.99767778429066	.264984809388278	.0429925307019785	.0234387682961954	.0349218718867198	8630508.140506426
1781	2007	519604.664377581	5260354.932202754	1861548.135196627	1792069.162784138	76191	85539	2122	170815.5237357862	3106924.696183324	934055.8461193801	5613994.297640487	1260852.8	82.66708190135617	.2902947105692618	.0838828352800042	.0222111483593058	.0301624389391455	10682915.6242123
